Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5406.344337,5516.552806,5089.659868,4803.923202,4337.219673,3980.04392,4180.11952,4756.48295,5236.829304,5520.919188,6002.260847,6462.199205,6936.45715,7626.246843,8792.921696,9997.02337,11404.18796,12773.02849,14401.65116,14572.49841,15927.87301,17166.69564,17807.41633,18298.84798,18949.88185,18389.7421,18098.42256,18895.59379,
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3305.752041,3736.174479,4211.854918,4506.174744,4516.612504,4521.929249,4523.517454,4593.548737,4635.566817,4932.445433,5510.390159,5740.631711,5958.420834,6473.181159,6784.888514,7001.461215,7353.29297,7436.527183,7628.89157,7547.007753,7709.081272,7855.082443,8057.137294,8088.685824,8363.465993,8558.204664,8421.235949,8525.127994,
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26204.67528,26254.87837,27032.44413,28355.81862,28931.55476,30614.40662,31780.21673,33605.37579,35036.61408,36570.86108,40525.56486,43965.63051,43695.63699,45786.42509,47824.05908,49865.41821,53936.58904,56627.514,58274.74512,55307.00094,55241.06904,54984.51039,53137.21086,52547.33573,,,,,
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395.544849,2554.860949,2604.286636,2725.761484,2856.733681,2993.098637,3118.54027,3264.1703,3398.445619,3398.926186,3496.447419,3569.207453,3646.703466,3752.158007,3945.769615,4179.323762,4437.568742,4683.832327,4985.694145,5107.658183,5296.824088,5598.508445,5904.032293,6316.44273,6683.345719,6975.556982,7242.329178,7575.681951,
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6666.953553,6872.259194,6878.968868,7250.703092,7674.393095,8049.860237,8244.831639,8534.430737,8522.666667,8563.318413,9010.611904,9214.567006,9513.237577,9688.266051,10399.46692,10948.66923,11602.11211,12500.64448,13259.63721,13212.28173,14241.5902,14973.09847,15408.08418,16002.17724,16242.28705,15699.44289,15221.554,15553.40159,
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9145.626153,9048.937681,8578.914484,8859.761993,9357.827121,9711.559117,10243.06588,10871.22203,11357.49024,11527.05852,12272.13424,12215.46653,12465.8765,12952.00687,13454.21946,14390.79435,15615.03842,16247.80081,16517.01086,15915.19907,16088.84585,16472.0832,16776.36095,17016.47975,17287.94134,17579.17813,18078.56351,18559.33537,
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54713.54473,56673.17102,59019.12682,58932.10478,60412.47018,62772.31592,64137.91989,62764.17254,61671.13243,63128.45414,65019.36275,66944.59078,69230.27425,71320.26394,72394.34843,73855.71565,78379.53858,79597.9293,78664.262,76946.00782,78904.61445,82434.88309,83566.44527,82000.92655,80402.35518,79671.76781,77507.66183,79003.42528,
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502.52312,1546.190869,1672.120274,1773.970882,1925.779369,2111.66587,2250.623588,2368.947001,2473.585097,2637.102539,2804.265458,3018.282704,3299.377816,3524.088166,3733.600428,4025.384002,4330.431443,5130.189605,5370.854388,5662.780298,6288.318005,6805.878456,7167.623554,7332.866201,7783.984785,8273.414837,8917.302617,9391.539182,
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5130.202699,5540.263353,5675.217007,5767.622808,5953.000958,6353.222246,6697.105731,7227.581494,7197.829089,7871.898459,8075.760733,8155.010201,8659.323477,9115.666144,9488.339252,10093.56261,11103.97307,12148.43898,12944.40698,11840.65623,12785.72612,13596.16709,14211.31641,15804.58793,16461.90005,16054.67846,16621.703,17024.17,
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.7506299,598.9844984,558.2487798,558.0502717,582.0359111,620.7895253,592.1678371,619.5309452,641.0939763,659.824616,644.2865817,674.5197621,695.9485774,659.0242773,704.7530657,721.0774101,765.0051244,807.3240275,826.6167166,835.8121538,863.1148192,904.6104858,956.8289262,615.0371381,630.9833632,663.82653,694.0864454,727.4859709,
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20101.44421,20064.64585,20450.54213,21257.04809,22469.50716,23360.66669,23912.68616,25099.38244,26139.88619,27656.67692,29185.14108,30048.57089,30851.31148,32192.47444,33739.56807,36134.60224,37999.8191,39441.12243,40277.61931,38797.75885,40011.93839,41565.27122,42145.09786,44101.47145,45519.79392,44406.66587,44819.11188,46509.71703,
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6883.686077,6447.11316,6498.912547,6765.91516,7197.45621,7785.626205,8286.108749,8689.408088,9084.419692,9383.745656,10008.14757,10795.84223,11612.9533,12355.3697,13474.78055,14306.45014,15901.02156,17734.59936,19635.91703,19638.56281,20723.895,22133.68247,22945.92937,23958.63144,24969.83627,26024.89483,27332.93016,29632.33319,
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27594.63205,27915.47156,28226.22674,28596.95284,29343.63158,29902.48998,30542.0819,31812.51568,32918.59208,33814.07929,35754.57316,36778.02109,37718.30413,37713.36837,39169.99603,40572.26318,45106.41593,49746.3554,52584.73495,51769.04989,53067.68659,56183.83259,57849.58399,60108.51635,61902.16241,63938.97998,64215.86026,66307.38403,
